(node (name root) (type decision) (question "Is the animal warm-blooded? ") (yes-node node1) (no-node node2) (answer nil))
(node (name node1) (type decision) (question "Does the animal purr? ") (yes-node node3) (no-node node4) (answer nil))
(node (name node2) (type answer) (question nil) (yes-node nil) (no-node nil) (answer snake))
(node (name node3) (type answer) (question nil) (yes-node nil) (no-node nil) (answer cat))
(node (name node4) (type decision) (question "Does the animal have hooves?") (yes-node gen1) (no-node gen2) (answer dog))
(node (name gen1) (type decision) (question "Does the animal moo?") (yes-node gen3) (no-node gen4) (answer horse))
(node (name gen2) (type answer) (question nil) (yes-node nil) (no-node nil) (answer dog))
(node (name gen3) (type answer) (question nil) (yes-node nil) (no-node nil) (answer cow))
(node (name gen4) (type decision) (question "Does the animal have black and white stripes?") (yes-node gen5) (no-node gen6) (answer horse))
(node (name gen5) (type answer) (question nil) (yes-node nil) (no-node nil) (answer zebra))
(node (name gen6) (type answer) (question nil) (yes-node nil) (no-node nil) (answer horse))
